Nicholson St/Johnston St;Abbotsford;Nicholson St / Johnston St, Abbotsford 3067;-37.800281,144.998074
Trenerry Cres/Johnston St;Abbotsford;Trenerry Cres / Johnston St, Abbotsford 3067;-37.800510,145.000216
Clarke St/Johnston St;Abbotsford;Clarke St / Johnston St, Abbotsford 3067;-37.800600,145.001620
Victoria Park Railway Station/270 Johnston St;Abbotsford;Johnston St, Abbotsford 3067;-37.799887,144.993978
Langridge St/Hoddle St;Abbotsford;Langridge St / Hoddle St, Abbotsford 3067;-37.806847,144.991659
Gipps St/Hoddle St;Abbotsford;Gipps St / Hoddle St, Abbotsford 3067;-37.804312,144.992094
Vere St/Hoddle St;Abbotsford;Vere St / Hoddle St, Abbotsford 3067;-37.802821,144.992703
Truro St/Hoddle St;Abbotsford;Truro St / Hoddle St, Abbotsford 3067;-37.797680,144.993560
Hoddle St/Johnston St;Abbotsford;Hoddle St / Johnston St, Abbotsford 3067;-37.799978,144.993561
Johnston St/Hoddle St;Abbotsford;Johnston St / Hoddle St, Abbotsford 3067;-37.800414,144.993061
Hoffmans Rd/Buckley St;Aberfeldie;Hoffmans Rd / Buckley St, Aberfeldie 3040;-37.753929,144.888904
Batman St/Buckley St;Aberfeldie;Batman St / Buckley St, Aberfeldie 3040;-37.754179,144.891251
Price St/Buckley St;Aberfeldie;Price St / Buckley St, Aberfeldie 3040;-37.754448,144.893805
Fawkner St/Buckley St;Aberfeldie;Fawkner St / Buckley St, Aberfeldie 3040;-37.754649,144.895585
Vida St/Buckley St;Aberfeldie;Vida St / Buckley St, Aberfeldie 3040;-37.755054,144.899108
St Kinnord St/Buckley St;Aberfeldie;St Kinnord St / Buckley St, Aberfeldie 3040;-37.755512,144.902888
Combermere St/Buckley St;Aberfeldie;Combermere St / Buckley St, Aberfeldie 3040;-37.755742,144.904818
Chisholm St/Vida St;Aberfeldie;Chisholm St / Vida St, Aberfeldie 3040;-37.760514,144.897796
Fawkner St/Chisholm St;Aberfeldie;Fawkner St / Chisholm St, Aberfeldie 3040;-37.760302,144.895861
Arthur St/Vida St;Aberfeldie;Arthur St / Vida St, Aberfeldie 3040;-37.759100,144.898067
Ave Maria College/Alma St;Aberfeldie;Vida St / Alma St, Aberfeldie 3040;-37.756981,144.898480
Beaver St/Alma St;Aberfeldie;Beaver St / Alma St, Aberfeldie 3040;-37.757352,144.902109
Combermere St/Alma St;Aberfeldie;Combermere St / Alma St, Aberfeldie 3040;-37.757632,144.904436
Brunel St/Tilba St;Aberfeldie;Brunel St / Tilba St, Aberfeldie 3040;-37.761980,144.895800
Roberts Rd/Fullarton Rd;Airport West;Roberts Rd / Fullarton Rd, Airport West 3042;-37.728303,144.866245
Knighton Ave/Fullarton Rd;Airport West;Knighton Ave / Fullarton Rd, Airport West 3042;-37.728560,144.867795
