North Richmond Railway Station/Victoria St;Abbotsford;Regent St / Victoria St, Abbotsford 3067;-37.809657,144.992583
Nicholson St/Victoria St;Abbotsford;Nicholson St / Victoria St, Abbotsford 3067;-37.809994,144.995790
Church St/Victoria St;Abbotsford;Church St / Victoria St, Abbotsford 3067;-37.810494,145.000518
Flockhart St/Victoria St;Abbotsford;Flockhart St / Victoria St, Abbotsford 3067;-37.811126,145.007030
Cameron St/Matthews Ave;Airport West;Cameron St / Matthews Ave, Airport West 3042;-37.729960,144.890243
Earl St/Matthews Ave;Airport West;Earl St / Matthews Ave, Airport West 3042;-37.727324,144.890672
Hawker St/Matthews Ave;Airport West;Hawker St / Matthews Ave, Airport West 3042;-37.723067,144.891387
Marshall Rd/Matthews Ave;Airport West;Marshall Rd / Matthews Ave, Airport West 3042;-37.718394,144.892082
Airport West/Matthews Ave;Airport West;Dromana Ave / Matthews Ave, Airport West 3042;-37.713840,144.890560
Fullarton Rd/Matthews Ave;Airport West;Fullarton Rd / Matthews Ave, Airport West 3042;-37.732375,144.889701
Aughtie Dr/Albert Rd;Albert Park;Aughtie Dr / Albert Rd, Albert Park 3206;-37.840751,144.961044
Kerferd Rd/Canterbury Rd;Albert Park;Kerferd Rd / Canterbury Rd, Albert Park 3206;-37.842597,144.959411
Canterbury Rd/Albert Rd;Albert Park;Canterbury Rd / Albert Rd, Albert Park 3206;-37.842286,144.959519
Montague St/Bridport St;Albert Park;Montague St / Bridport St, Albert Park 3206;-37.840730,144.955320
Bridport St/Victoria Ave;Albert Park;Bridport St / Victoria Ave, Albert Park 3206;-37.841563,144.953338
Richardson St/Victoria Ave;Albert Park;Richardson St / Victoria Ave, Albert Park 3206;-37.843940,144.951280
Little Page St/Victoria Ave;Albert Park;Little Page St / Victoria Ave, Albert Park 3206;-37.845670,144.949830
Beaconsfield Pde/Victoria Ave;Albert Park;Beaconsfield Pde / Victoria Ave, Albert Park 3206;-37.847200,144.948660
Bridport St/Montague St;Albert Park;Bridport St / Montague St, Albert Park 3206;-37.840420,144.955720
Merton St/Dundas Pl;Albert Park;Merton St / Dundas Pl, Albert Park 3206;-37.841252,144.953862
Graham St/Victoria Ave;Albert Park;Graham St / Victoria Ave, Albert Park 3206;-37.845770,144.950020
Armadale St/Wattletree Rd;Armadale;Armadale St / Wattletree Rd, Armadale 3143;-37.860940,145.017791
Kooyong Rd/Wattletree Rd;Armadale;Kooyong Rd / Wattletree Rd, Armadale 3143;-37.861342,145.019899
Egerton Rd/Wattletree Rd;Armadale;Egerton Rd / Wattletree Rd, Armadale 3143;-37.861698,145.022698
Duncraig Ave/Wattletree Rd;Armadale;Duncraig Ave / Wattletree Rd, Armadale 3143;-37.862064,145.025472
Auburn Gr/High St;Armadale;Auburn Gr / High St, Armadale 3143;-37.854869,145.015352
Armadale Station/High St;Armadale;Osment St / High St, Armadale 3143;-37.855275,145.018408
Kooyong Rd/High St;Armadale;Kooyong Rd / High St, Armadale 3143;-37.855586,145.020804
Huntingtower Rd/High St;Armadale;Huntingtower Rd / High St, Armadale 3143;-37.855992,145.023829
Mercer Rd/High St;Armadale;Mercer Rd / High St, Armadale 3143;-37.856286,145.026231
Armadale Station/High St;Armadale;Northcote Rd / High St, Armadale 3143;-37.855122,145.018252
Orrong Rd/High St;Armadale;Orrong Rd / High St, Armadale 3143;-37.854216,145.011454
Bailey Ave/Dandenong Rd;Armadale;Bailey Ave / Dandenong Rd, Armadale 3143;-37.864620,145.023680
