85 Franklin St (Adelaide City;SA);Franklin St, Adelaide City (SA) 5000;-34.927367,138.595017
Post Office/Great Ocean Rd;Aireys Inlet;Albert Ave / Great Ocean Rd, Aireys Inlet 3231;-38.458738,144.106973
Bambra Rd/Great Ocean Rd;Aireys Inlet;Bambra Rd / Great Ocean Rd, Aireys Inlet 3231;-38.464737,144.100247
Alberton Store/South Gippsland Hwy;Alberton;Bank St / South Gippsland Hwy, Alberton 3971;-38.614618,146.666742
Albury Railway Station (Albury (NSW));Bay 1 to 4;Smollett St / Hume Hwy, Albury (NSW) 2640;-36.084242,146.924327
Albury Railway Station (Albury;NSW);Smollett St / Hume Hwy, Albury (NSW) 2640;-36.084263,146.924518
Creswick-Newstead Rd;Allendale;Creswick-Newstead Rd, Allendale 3364;-37.371820,143.921420
Phillip Island Rd/Bass Hwy;Anderson;Phillip Island Rd / Bass Hwy, Anderson 3995;-38.526348,145.447528
Post Office/Great Ocean Rd;Anglesea;Camp Rd / Great Ocean Rd, Anglesea 3230;-38.405172,144.189345
Anglesea Motor Inn/Great Ocean Rd;Anglesea;McMillan St / Great Ocean Rd, Anglesea 3230;-38.408997,144.186570
Point Roadknight/Great Ocean Rd;Anglesea;Third Ave / Great Ocean Rd, Anglesea 3230;-38.420392,144.174907
Point Roadknight/Great Ocean Rd;Anglesea;Fourth Ave / Great Ocean Rd, Anglesea 3230;-38.420880,144.173857
Annuello turn off/Robinvale - Sea Lake Rd;Annuello;Koorkab Rd / Robinvale - Sea Lake Rd, Annuello 3549;-34.853993,142.833283
Pisces Holiday Park/Great Ocean Rd;Apollo Bay;Mariners Lookout Rd / Great Ocean Rd, Apollo Bay 3233;-38.741712,143.675386
Information Centre/Great Ocean Rd;Apollo Bay;Hardy St / Great Ocean Rd, Apollo Bay 3233;-38.754437,143.669118
Ararat Railway Station;Ararat;High St, Ararat 3377;-37.282450,142.936933
Ararat Railway Station;Ararat;Birdwood Ave, Ararat 3377;-37.282202,142.936912
Ararat Town Hall/Barkly St;Ararat;Vincent St / Barkly St, Ararat 3377;-37.283640,142.931993
Ardeer Railway Station;Ardeer;Lawrence St / Forrest St, Ardeer 3022;-37.783063,144.802193
Avenel Railway Station;Avenel;Queen St, Avenel 3664;-36.893644,145.229517
Post Office/Sunraysia Hwy;Avoca;Cambridge St / Sunraysia Hwy, Avoca 3467;-37.088987,143.473840
Bairnsdale Railway Station (Bairnsdale);Bay 4;Pyke St / Macleod St, Bairnsdale 3875;-37.828598,147.627597
Bailey St/Princes Hwy;Bairnsdale;Bailey St / Princes Hwy, Bairnsdale 3875;-37.825510,147.632280
Bairnsdale Railway Station;Bairnsdale;Pyke St / Macleod St, Bairnsdale 3875;-37.828717,147.627615
Bairnsdale Railway Station/MacLeod St (Bairnsdale);Bay 5;Pyke St / MacLeod St, Bairnsdale 3875;-37.828212,147.627791
Bairnsdale Railway Station (Bairnsdale);Bay 2;Pyke St / MacLeod St, Bairnsdale 3875;-37.828598,147.627597
Ballan Railway Station;Ballan;Fisken St / Atkinson St, Ballan 3342;-37.603427,144.224982
Ballarat Railway Station;Ballarat Central;Lydiard St, Ballarat Central 3350;-37.558653,143.858758
Ballarat Railway Station;Ballarat Central;Lydiard St / Main St, Ballarat Central 3350;-37.558790,143.859452
Ballarat Hospital/Sturt St;Ballarat Central;Drummond St / Sturt St, Ballarat Central 3350;-37.560632,143.848246
Heritage Park/Market St (Balranald;NSW);Market St, Balranald (NSW) 0;-34.643890,143.564440
Fitzgerald Rd/Robinvale - Sea Lake Rd;Bannerton;Fitzgerald Rd / Robinvale - Sea Lake Rd, Bannerton 3549;-34.701103,142.793777
McPhillips Rd/High St;Bannockburn;McPhillips Rd / High St, Bannockburn 3331;-38.045243,144.172305
Border Service Station/Murray St (Barham;NSW);Thule St / Murray St, Barham (NSW) 0;-35.629898,144.125918
Moira Lakes Rd/Murray St;Barmah;Moira Lakes Rd / Murray St, Barmah 3639;-36.017565,144.957747
General Store/Nangunia St (Barooga;NSW);Macfarland St / Nangunia St, Barooga (NSW) 0;-35.911933,145.690537
Barraport East Rd/Boort - Quambatook Rd;Barraport;Barraport East Rd / Boort - Quambatook Rd, Barraport 3537;-36.009015,143.669192
General Store/Hade Ave;Bass;Bass School Rd / Hade Ave, Bass 3991;-38.483983,145.466367
Orient Street Bus Bay/Orient St (Batemans Bay;NSW);Orient St, Batemans Bay (NSW) 0;-35.710000,150.176940
Hotel/Midland Hwy;Batesford;River St / Midland Hwy, Batesford 3221;-38.089513,144.280335
The Dog Rocks Hotel/Midland Hwy;Batesford;River St / Midland Hwy, Batesford 3221;-38.089270,144.279862
Corner Store/Main St;Bealiba;Cochrane St / Main St, Bealiba 3475;-36.788212,143.550888
Loddon Valley Hwy;Bears Lagoon;Loddon Valley Hwy, Bears Lagoon 3517;-36.332517,143.974500
Beaufort Railway Station;Beaufort;Albert St / Pratt St, Beaufort 3373;-37.427772,143.382380
Havelock St/Neill St;Beaufort;Havelock St / Neill St, Beaufort 3373;-37.429584,143.381957
Shell Roadhouse/Western Hwy;Beaufort;Livingstone St / Western Hwy, Beaufort 3373;-37.429394,143.380373
Ford St/Camp St;Beechworth;Ford St / Camp St, Beechworth 3747;-36.359148,146.686791
Information Centre/Gipps St (Bega;NSW);Gipps St, Bega (NSW) 2550;-36.676390,149.843330
Adiscott Rd/Great Ocean Rd;Bellbrae;Adiscott Rd / Great Ocean Rd, Bellbrae 3228;-38.349557,144.257787
School Rd/Great Ocean Rd;Bellbrae;School Rd / Great Ocean Rd, Bellbrae 3228;-38.338319,144.263573
Jarosite Rd/Great Ocean Rd;Bellbrae;Jarosite Rd / Great Ocean Rd, Bellbrae 3228;-38.368596,144.244611
Belmont Shops/High St;Belmont;Roslyn Rd / High St, Belmont 3216;-38.175167,144.342708
Strand Arcade/High St;Belmont;Roslyn Rd / High St, Belmont 3216;-38.174077,144.343648
Bemm River Rd/Princes Hwy;Bemm River;Bemm River Rd / Princes Hwy, Bemm River 3889;-37.672416,148.794210
Benalla Railway Station;Benalla;Nixon St / Mackellar St, Benalla 3672;-36.544817,145.984002
Mitchell St/Hargreaves St;Bendigo;Mitchell St / Hargreaves St, Bendigo 3550;-36.761020,144.279060
Bendigo Railway Station (Bendigo);Bay 1;Railway Pl, Bendigo 3550;-36.765446,144.282855
Bendigo Railway Station;Bendigo;Mitchell St / Railway Pl, Bendigo 3550;-36.765673,144.283012
Newsagency/Wallaga Lake Rd (Bermagui;NSW);Narrari St / Wallaga Lake Rd, Bermagui (NSW) 2546;-36.421547,150.064602
Bermagui Motor Inn/Lamont St (Bermagui;NSW);Main Rd / Lamont St, Bermagui (NSW) 2546;-36.427106,150.076789
Caltex Service Station/Calder Hwy;Berriwillock;Calder Hwy, Berriwillock 3531;-35.638247,142.998972
Berwick Railway Station;Berwick;Enterprise Ave, Berwick 3806;-38.040410,145.345720
Galaquil West Rd/Henty Hwy;Beulah;Galaquil West Rd / Henty Hwy, Beulah 3395;-35.995328,142.407695
Hogans Newsagent/Phillips St;Beulah;Gladstone St / Phillips St, Beulah 3395;-35.939395,142.420910
Memorial Park/Cumming Ave;Birchip;Glowrey St / Cumming Ave, Birchip 3483;-35.981265,142.917917
